"Transaction Hash","Status","Type","Method ","Block","Date Time (UTC)","From","From_NameTag","To","To_NameTag","Amount","Value (USD) ","Asset","Txn Fee"
"0x5d6902be0b1d23bcac8c580d5d43e65a2f75756b490001d6f5c075caa01cddb7","Success","ERC-20","Swap","11618268","2021-01-09 3:47:30","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0xe069cb01d06ba617bcdf789bf2ff0d5e5ca20c71"," 1inch: Router 2","6,372.870765","$10.63","BAC(BAC)","0.04802517"
"0x5d6902be0b1d23bcac8c580d5d43e65a2f75756b490001d6f5c075caa01cddb7","Success","ERC-20","Swap","11618268","2021-01-09 3:47:30","0xe069cb01d06ba617bcdf789bf2ff0d5e5ca20c71","1inch: Router 2","0x910bf2d50fA5e014Fd06666f456182D4Ab7c8bd2"," ","541.792844","$0.9034","BAC(BAC)","0.04802517"
"0x362a36ed2160dc9fdf5559fbd37ca20599d3b42bff8ac0f22c730357a161ef5e","Success","ERC-20","Add Liquidity","11618268","2021-01-09 3:47:30","0x3aC9F5CAe6AECeBDfb68Db98F2aAa5c84d3ae8D5"," ","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd"," Uniswap V2: BAC-DAI","30,028.562843","$50.07","BAC(BAC)","0.01558874"
"0x7a054a8ac6b77b8d1e47299d4665d0b7698a1b8f88ffba20c1a01d88580ec23f","Success","ERC-20","Transfer","11618268","2021-01-09 3:47:30","0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88","MEXC 1","0x0eF2c0ee7683435E2f38981d8dd386A003e29F26"," ","4,997","$8.33","BAC(BAC)","0.00585538"
"0x0159f97821560133e1cbd0cf73f7ac7339f170454232df4afdc6115cbe49eb1d","Error in Internal Transaction","ERC-20","Buy Bonds","11618267","2021-01-09 3:47:20","0x2ED66e6dF3B8A4D42a4F2B23C4B609b029d43084"," ","0x0000000000000000000000000000000000000000","Null: 0x000...000","1,144.131","$1.91","BAC(BAC)","0.0111334"
"0x46a6f39468c69fdebcef2644e341457bf135e45fbc07680bfd90393a52885d7f","Error in Internal Transaction","ERC-20","Buy Bonds","11618266","2021-01-09 3:47:19","0x7973D4a24748C9243a894E9DE295f9099bC7ADc8"," ","0x0000000000000000000000000000000000000000","Null: 0x000...000","9,400.578","$15.67","BAC(BAC)","0.00695838"
"0xac90c80e599888f171fd387218622d84364a291855512eab8f979c571d5ba4bf","Success","ERC-20","Zap Out","11618262","2021-01-09 3:47:02","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x79b6c6f8634ea477ed725ec23b7b6fcb41f00e58"," Zapper: Uniswap V2 Zap Out v2.1.1","674.641356","$1.12","BAC(BAC)","0.01797224"
"0xac90c80e599888f171fd387218622d84364a291855512eab8f979c571d5ba4bf","Success","ERC-20","Zap Out","11618262","2021-01-09 3:47:02","0xd4405f0704621dbe9d4dea60e128e0c3b26bddbd","Uniswap V2: BAC-DAI","0x79b6c6f8634ea477ed725ec23b7b6fcb41f00e58"," Zapper: Uniswap V2 Zap Out v2.1.1","672.60902","$1.12","BAC(BAC)","0.01797224"
"0xac90c80e599888f171fd387218622d84364a291855512eab8f979c571d5ba4bf","Success","ERC-20","Zap Out","11618262","2021-01-09 3:47:02","0x79b6c6f8634ea477ed725ec23b7b6fcb41f00e58","Zapper: Uniswap V2 Zap Out v2.1.1","0x3C7108FAD72AbA31e2Fa59dFBc458b54F58d9966"," ","1,347.250376","$2.25","BAC(BAC)","0.01797224"
"0xd06735c3f5b01ad06366dccb0f4732497507664dbed8a46c61a12fbd52eda728","Error in Internal Transaction","ERC-20","Buy Bonds","11618262","2021-01-09 3:47:02","0xc24e9E7983d158c6A715262aa1662F4683A4Ae84"," ","0x0000000000000000000000000000000000000000","Null: 0x000...000","5,000","$8.34","BAC(BAC)","0.00850511"
