,day,Amount,price
86,7,49878242.186312,0.9950000000000001
87,7,49878242.186312,0.9950000000000001
85,7,49878242.186312,0.9950000000000001
84,8,19980000.0,0.960913043478261
83,8,15000000.0,0.9353478260869564
81,8,67000000.0,0.8671739130434782
82,8,67000000.0,0.8671739130434782
80,8,14221489.669951,0.8245652173913044
78,9,11870725.706307,0.7990000000000002
79,9,11870725.706307,0.7990000000000002
75,9,29930526.803351,0.7966521739130435
76,9,29930526.803351,0.7966521739130435
77,9,29930526.803351,0.7966521739130435
71,9,10000000.0,0.7958695652173913
72,9,10000000.0,0.7958695652173913
73,9,29027547.66,0.7958695652173913
74,9,29027547.665222,0.7958695652173913
67,9,13727157.775564,0.7950869565217392
68,9,13727157.775564,0.7950869565217392
69,9,12000000.0,0.7950869565217392
70,9,12000000.0,0.7950869565217392
59,9,19957329.082751,0.789608695652174
60,9,19957329.082751,0.789608695652174
61,9,29935982.859399,0.789608695652174
62,9,29935982.859399,0.789608695652174
63,9,29935982.859399,0.789608695652174
64,9,39914612.740573,0.789608695652174
65,9,39914612.740573,0.789608695652174
66,9,39914612.740573,0.789608695652174
55,9,15500000.0,0.7880434782608695
56,9,15500000.0,0.7880434782608695
57,9,13000000.0,0.7880434782608695
58,9,13000000.0,0.7880434782608695
54,9,19957329.082751,0.7864782608695652
52,9,19950061.463465,0.7825652173913042
53,9,165612446.091625,0.7825652173913042
51,10,39312697.0,0.7799565217391304
48,10,19950061.463465,0.7794347826086956
49,10,165612446.091625,0.7794347826086956
50,10,10000000.0,0.7794347826086956
45,10,57423490.150403,0.7791739130434783
46,10,11499975.19,0.7791739130434783
47,10,185562507.55509,0.7791739130434783
44,10,11999990.0,0.7789130434782608
43,10,145950748.417594,0.778391304347826
42,10,145950748.417594,0.7778695652173914
41,10,145950748.417594,0.7773478260869564
40,10,12521084.9,0.7768260869565218
38,10,26458804.753537,0.7765652173913044
39,10,26458804.753537,0.7765652173913044
37,10,39960000.0,0.7763043478260869
34,10,43500000.0,0.7760434782608696
35,10,11000000.0,0.7760434782608696
36,10,13319035.938321,0.7760434782608696
33,10,51017502.268345,0.7757826086956522
32,10,53318953.745768,0.775
30,11,42063853.962986,0.7045652173913043
31,11,23793674.470665,0.7045652173913043
28,11,17982591.803126,0.6869565217391305
29,11,17982591.803126,0.6869565217391305
26,11,27758995.927947,0.6693478260869565
27,11,17982591.803126,0.6693478260869565
24,11,11988000.0,0.6341304347826088
25,11,11988000.0,0.6341304347826088
20,11,31859014.803526,0.6165217391304347
21,11,20979000.0,0.6165217391304347
22,11,12000000.0,0.6165217391304347
23,11,15700985.909867,0.6165217391304347
18,11,12999978.499998,0.5284782608695653
19,11,12999990.0,0.5284782608695653
16,11,10000000.0,0.5108695652173914
17,11,18000000.0,0.5108695652173914
15,11,18515068.135301,0.37
11,12,18515068.135301,0.37
12,12,18515068.135301,0.37
13,12,18515068.135301,0.37
14,12,18515068.135301,0.37
10,12,22488000.0,0.17747826086956525
5,12,10000000.0,0.1453913043478261
6,12,10000000.0,0.1453913043478261
7,12,30000000.0,0.1453913043478261
8,12,38001260.0,0.1453913043478261
9,12,68001260.0,0.1453913043478261
3,12,20000000.000001,0.13469565217391305
4,12,20000000.0,0.13469565217391305
2,13,21254048.965007,0.1584782608695652
1,13,19423459.460403,0.1611304347826087
0,13,21254048.965007,0.17969565217391303
