"Transaction Hash","Status","Type","Method ","Block","Date Time (UTC)","From","From_NameTag","To","To_NameTag","Amount","Value (USD) ","Asset","Txn Fee"
"0x2296ab0791ca7748ba26d38bfe60d80c2aa26cb140214dee69841db76702be78","Success","ERC-20","Migrate","14769712","2022-05-13 21:13:13","0xdB886bf718FBf354eb4202b03AD13b1Cafb01276"," ","0xF39C29d8f6851d87c40c83b61078EB7384f7Cb51"," ","21,254,048.965007","$558,162.57","Wrapped USTC Token(USTC)","0.00327691"
"0x8532645e17c881a53eb615993e520f96c4f05f6712825e8d7de591138c5f25e2","Success","ERC-20","Transfer","14767792","2022-05-13 14:00:04","0xbe25b85ff677503ab65f619ec78f97973977e400","Binance Dep: 0xbe25b8...77e400","0x28c6c06298d514db089934071355e5743bf21d60"," Binance 14","19,423,459.460403","$510,088.60","Wrapped USTC Token(USTC)","0.00290475"
"0x6d028a1d344465c5700b051dc661cdb206eb3f49c121ed626cea5b4e1dd301e9","Success","ERC-20","Remove_liquidity","14767732","2022-05-13 13:49:00","0x890f4e345b1daed0367a877a1612f86a1f86985f","Curve.fi: UST MetaPool","0xdB886bf718FBf354eb4202b03AD13b1Cafb01276"," ","21,254,048.965007","$558,162.57","Wrapped USTC Token(USTC)","0.00863079"
"0xab79bcb8a31415a5021062cfe613896b385344473d18a5b6878bac3c6c693805","Success","ERC-20","Burn","14763646","2022-05-12 22:14:32","0x493ea091A19A2B4780148B8A5986B7932DE438EA"," ","0x0000000000000000000000000000000000000000","Null: 0x000...000","20,000,000.000001","$525,229.40","Wrapped USTC Token(USTC)","0.00406474"
"0x2d663a8f815a7e32dab92a2f5308a4c034fc46636bef5ee3f81ce86f87e7a48e","Success","ERC-20","Transfer","14763642","2022-05-12 22:12:30","0x122541b900fe1183650A6258588Db3176D04D31F"," ","0x493ea091A19A2B4780148B8A5986B7932DE438EA"," ","20,000,000","$525,229.40","Wrapped USTC Token(USTC)","0.00272648"
"0x5262bc2ec77b9f3ec071534cb63b404887e34ca5337b88ee5085f57388a2e8f7","Success","ERC-20","Burn","14763577","2022-05-12 21:58:30","0x493ea091A19A2B4780148B8A5986B7932DE438EA"," ","0x0000000000000000000000000000000000000000","Null: 0x000...000","10,000,000","$262,614.70","Wrapped USTC Token(USTC)","0.00333267"
"0xaa4c354c7771332c23d39aecf5d568dbf506bd49dd796c59328be1167dcf045b","Success","ERC-20","Transfer","14763557","2022-05-12 21:53:25","0x122541b900fe1183650A6258588Db3176D04D31F"," ","0x493ea091A19A2B4780148B8A5986B7932DE438EA"," ","10,000,000","$262,614.70","Wrapped USTC Token(USTC)","0.002682"
"0xc5685d7b6ebb53e27db039b7730eb104ee8a6e4000809414312f76e1eea212cb","Success","ERC-20","Transfer","14763492","2022-05-12 21:40:52","0x447f95026107aaed7472A0470931e689f51e0e42"," ","0x122541b900fe1183650A6258588Db3176D04D31F"," ","30,000,000","$787,844.10","Wrapped USTC Token(USTC)","0.00430381"
"0xf3f6a9dbb349ef0e14a56878d043662d795fb53b5a11cab9c3005a7677825e85","Success","ERC-20","Burn","14763456","2022-05-12 21:33:48","0x447f95026107aaed7472A0470931e689f51e0e42"," ","0x0000000000000000000000000000000000000000","Null: 0x000...000","38,001,260","$997,968.95","Wrapped USTC Token(USTC)","0.00352882"
"0xca09d48fc99ba112f88d846e4468b0bd7981a7a6dc7a2c76be9138fee5ad6d86","Success","ERC-20","Claim","14763446","2022-05-12 21:31:44","0xF39C29d8f6851d87c40c83b61078EB7384f7Cb51"," ","0x447f95026107aaed7472A0470931e689f51e0e42"," ","68,001,260","$1,785,813.05","Wrapped USTC Token(USTC)","0.00575268"
